n,e*log(n),n,e*log(n) <= n
6.0910,4.9114,6.0910,Si
6.0920,4.9119,6.0920,Si
6.0930,4.9123,6.0930,Si
6.0940,4.9128,6.0940,Si
6.0950,4.9132,6.0950,Si
6.0960,4.9137,6.0960,Si
6.0970,4.9141,6.0970,Si
6.0980,4.9145,6.0980,Si
6.0990,4.9150,6.0990,Si
6.1000,4.9154,6.1000,Si
6.1010,4.9159,6.1010,Si
6.1020,4.9163,6.1020,Si
6.1030,4.9168,6.1030,Si
6.1040,4.9172,6.1040,Si
6.1050,4.9177,6.1050,Si
6.1060,4.9181,6.1060,Si
6.1070,4.9186,6.1070,Si
6.1080,4.9190,6.1080,Si
6.1090,4.9194,6.1090,Si
6.1100,4.9199,6.1100,Si
6.1110,4.9203,6.1110,Si
6.1120,4.9208,6.1120,Si
6.1130,4.9212,6.1130,Si
6.1140,4.9217,6.1140,Si
6.1150,4.9221,6.1150,Si
6.1160,4.9226,6.1160,Si
6.1170,4.9230,6.1170,Si
6.1180,4.9234,6.1180,Si
6.1190,4.9239,6.1190,Si
6.1200,4.9243,6.1200,Si
6.1210,4.9248,6.1210,Si
6.1220,4.9252,6.1220,Si
6.1230,4.9257,6.1230,Si
6.1240,4.9261,6.1240,Si
6.1250,4.9266,6.1250,Si
6.1260,4.9270,6.1260,Si
6.1270,4.9274,6.1270,Si
6.1280,4.9279,6.1280,Si
6.1290,4.9283,6.1290,Si
6.1300,4.9288,6.1300,Si
6.1310,4.9292,6.1310,Si
6.1320,4.9297,6.1320,Si
6.1330,4.9301,6.1330,Si
6.1340,4.9305,6.1340,Si
6.1350,4.9310,6.1350,Si
6.1360,4.9314,6.1360,Si
6.1370,4.9319,6.1370,Si
6.1380,4.9323,6.1380,Si
6.1390,4.9328,6.1390,Si
6.1400,4.9332,6.1400,Si
6.1410,4.9336,6.1410,Si
6.1420,4.9341,6.1420,Si
6.1430,4.9345,6.1430,Si
6.1440,4.9350,6.1440,Si
6.1450,4.9354,6.1450,Si
6.1460,4.9359,6.1460,Si
6.1470,4.9363,6.1470,Si
6.1480,4.9367,6.1480,Si
6.1490,4.9372,6.1490,Si
6.1500,4.9376,6.1500,Si
6.1510,4.9381,6.1510,Si
6.1520,4.9385,6.1520,Si
6.1530,4.9390,6.1530,Si
6.1540,4.9394,6.1540,Si
6.1550,4.9398,6.1550,Si
6.1560,4.9403,6.1560,Si
6.1570,4.9407,6.1570,Si
6.1580,4.9412,6.1580,Si
6.1590,4.9416,6.1590,Si
6.1600,4.9420,6.1600,Si
6.1610,4.9425,6.1610,Si
6.1620,4.9429,6.1620,Si
6.1630,4.9434,6.1630,Si
6.1640,4.9438,6.1640,Si
6.1650,4.9443,6.1650,Si
6.1660,4.9447,6.1660,Si
6.1670,4.9451,6.1670,Si
6.1680,4.9456,6.1680,Si
6.1690,4.9460,6.1690,Si
6.1700,4.9465,6.1700,Si
6.1710,4.9469,6.1710,Si
6.1720,4.9473,6.1720,Si
6.1730,4.9478,6.1730,Si
6.1740,4.9482,6.1740,Si
6.1750,4.9487,6.1750,Si
6.1760,4.9491,6.1760,Si
6.1770,4.9495,6.1770,Si
6.1780,4.9500,6.1780,Si
6.1790,4.9504,6.1790,Si
6.1800,4.9509,6.1800,Si
6.1810,4.9513,6.1810,Si
6.1820,4.9517,6.1820,Si
6.1830,4.9522,6.1830,Si
6.1840,4.9526,6.1840,Si
6.1850,4.9531,6.1850,Si
6.1860,4.9535,6.1860,Si
6.1870,4.9539,6.1870,Si
6.1880,4.9544,6.1880,Si
6.1890,4.9548,6.1890,Si
6.1900,4.9553,6.1900,Si
6.1910,4.9557,6.1910,Si
6.1920,4.9561,6.1920,Si
6.1930,4.9566,6.1930,Si
6.1940,4.9570,6.1940,Si
6.1950,4.9574,6.1950,Si
6.1960,4.9579,6.1960,Si
6.1970,4.9583,6.1970,Si
6.1980,4.9588,6.1980,Si
6.1990,4.9592,6.1990,Si
6.2000,4.9596,6.2000,Si
6.2010,4.9601,6.2010,Si
6.2020,4.9605,6.2020,Si
6.2030,4.9610,6.2030,Si
6.2040,4.9614,6.2040,Si
6.2050,4.9618,6.2050,Si
6.2060,4.9623,6.2060,Si
6.2070,4.9627,6.2070,Si
6.2080,4.9631,6.2080,Si
6.2090,4.9636,6.2090,Si
6.2100,4.9640,6.2100,Si
6.2110,4.9645,6.2110,Si
6.2120,4.9649,6.2120,Si
6.2130,4.9653,6.2130,Si
6.2140,4.9658,6.2140,Si
6.2150,4.9662,6.2150,Si
6.2160,4.9666,6.2160,Si
6.2170,4.9671,6.2170,Si
6.2180,4.9675,6.2180,Si
6.2190,4.9680,6.2190,Si
6.2200,4.9684,6.2200,Si
6.2210,4.9688,6.2210,Si
6.2220,4.9693,6.2220,Si
6.2230,4.9697,6.2230,Si
6.2240,4.9701,6.2240,Si
6.2250,4.9706,6.2250,Si
6.2260,4.9710,6.2260,Si
6.2270,4.9715,6.2270,Si
6.2280,4.9719,6.2280,Si
6.2290,4.9723,6.2290,Si
6.2300,4.9728,6.2300,Si
6.2310,4.9732,6.2310,Si
6.2320,4.9736,6.2320,Si
6.2330,4.9741,6.2330,Si
6.2340,4.9745,6.2340,Si
6.2350,4.9749,6.2350,Si
6.2360,4.9754,6.2360,Si
6.2370,4.9758,6.2370,Si
6.2380,4.9762,6.2380,Si
6.2390,4.9767,6.2390,Si
6.2400,4.9771,6.2400,Si
6.2410,4.9776,6.2410,Si
6.2420,4.9780,6.2420,Si
6.2430,4.9784,6.2430,Si
6.2440,4.9789,6.2440,Si
6.2450,4.9793,6.2450,Si
6.2460,4.9797,6.2460,Si
6.2470,4.9802,6.2470,Si
6.2480,4.9806,6.2480,Si
6.2490,4.9810,6.2490,Si
6.2500,4.9815,6.2500,Si
6.2510,4.9819,6.2510,Si
6.2520,4.9823,6.2520,Si
6.2530,4.9828,6.2530,Si
6.2540,4.9832,6.2540,Si
6.2550,4.9836,6.2550,Si
6.2560,4.9841,6.2560,Si
6.2570,4.9845,6.2570,Si
6.2580,4.9850,6.2580,Si
6.2590,4.9854,6.2590,Si
6.2600,4.9858,6.2600,Si
6.2610,4.9863,6.2610,Si
6.2620,4.9867,6.2620,Si
6.2630,4.9871,6.2630,Si
6.2640,4.9876,6.2640,Si
6.2650,4.9880,6.2650,Si
6.2660,4.9884,6.2660,Si
6.2670,4.9889,6.2670,Si
6.2680,4.9893,6.2680,Si
6.2690,4.9897,6.2690,Si
6.2700,4.9902,6.2700,Si
6.2710,4.9906,6.2710,Si
6.2720,4.9910,6.2720,Si
6.2730,4.9915,6.2730,Si
6.2740,4.9919,6.2740,Si
6.2750,4.9923,6.2750,Si
6.2760,4.9928,6.2760,Si
6.2770,4.9932,6.2770,Si
6.2780,4.9936,6.2780,Si
6.2790,4.9941,6.2790,Si
6.2800,4.9945,6.2800,Si
6.2810,4.9949,6.2810,Si
6.2820,4.9954,6.2820,Si
6.2830,4.9958,6.2830,Si
6.2840,4.9962,6.2840,Si
6.2850,4.9967,6.2850,Si
6.2860,4.9971,6.2860,Si
6.2870,4.9975,6.2870,Si
6.2880,4.9980,6.2880,Si
6.2890,4.9984,6.2890,Si
6.2900,4.9988,6.2900,Si
6.2910,4.9992,6.2910,Si
6.2920,4.9997,6.2920,Si
6.2930,5.0001,6.2930,Si
6.2940,5.0005,6.2940,Si
6.2950,5.0010,6.2950,Si
6.2960,5.0014,6.2960,Si
6.2970,5.0018,6.2970,Si
6.2980,5.0023,6.2980,Si
6.2990,5.0027,6.2990,Si
6.3000,5.0031,6.3000,Si
6.3010,5.0036,6.3010,Si
6.3020,5.0040,6.3020,Si
6.3030,5.0044,6.3030,Si
6.3040,5.0049,6.3040,Si
6.3050,5.0053,6.3050,Si
6.3060,5.0057,6.3060,Si
6.3070,5.0062,6.3070,Si
6.3080,5.0066,6.3080,Si
6.3090,5.0070,6.3090,Si
6.3100,5.0074,6.3100,Si
6.3110,5.0079,6.3110,Si
6.3120,5.0083,6.3120,Si
6.3130,5.0087,6.3130,Si
6.3140,5.0092,6.3140,Si
6.3150,5.0096,6.3150,Si
6.3160,5.0100,6.3160,Si
6.3170,5.0105,6.3170,Si
6.3180,5.0109,6.3180,Si
6.3190,5.0113,6.3190,Si
6.3200,5.0117,6.3200,Si
6.3210,5.0122,6.3210,Si
6.3220,5.0126,6.3220,Si
6.3230,5.0130,6.3230,Si
6.3240,5.0135,6.3240,Si
6.3250,5.0139,6.3250,Si
6.3260,5.0143,6.3260,Si
6.3270,5.0148,6.3270,Si
6.3280,5.0152,6.3280,Si
6.3290,5.0156,6.3290,Si
6.3300,5.0160,6.3300,Si
6.3310,5.0165,6.3310,Si
6.3320,5.0169,6.3320,Si
6.3330,5.0173,6.3330,Si
6.3340,5.0178,6.3340,Si
6.3350,5.0182,6.3350,Si
6.3360,5.0186,6.3360,Si
6.3370,5.0191,6.3370,Si
6.3380,5.0195,6.3380,Si
6.3390,5.0199,6.3390,Si
6.3400,5.0203,6.3400,Si
6.3410,5.0208,6.3410,Si
6.3420,5.0212,6.3420,Si
6.3430,5.0216,6.3430,Si
6.3440,5.0221,6.3440,Si
6.3450,5.0225,6.3450,Si
6.3460,5.0229,6.3460,Si
6.3470,5.0233,6.3470,Si
6.3480,5.0238,6.3480,Si
6.3490,5.0242,6.3490,Si
6.3500,5.0246,6.3500,Si
6.3510,5.0250,6.3510,Si
6.3520,5.0255,6.3520,Si
6.3530,5.0259,6.3530,Si
6.3540,5.0263,6.3540,Si
6.3550,5.0268,6.3550,Si
6.3560,5.0272,6.3560,Si
6.3570,5.0276,6.3570,Si
6.3580,5.0280,6.3580,Si
6.3590,5.0285,6.3590,Si
6.3600,5.0289,6.3600,Si
6.3610,5.0293,6.3610,Si
6.3620,5.0298,6.3620,Si
6.3630,5.0302,6.3630,Si
6.3640,5.0306,6.3640,Si
6.3650,5.0310,6.3650,Si
6.3660,5.0315,6.3660,Si
6.3670,5.0319,6.3670,Si
6.3680,5.0323,6.3680,Si
6.3690,5.0327,6.3690,Si
6.3700,5.0332,6.3700,Si
6.3710,5.0336,6.3710,Si
6.3720,5.0340,6.3720,Si
6.3730,5.0344,6.3730,Si
6.3740,5.0349,6.3740,Si
6.3750,5.0353,6.3750,Si
6.3760,5.0357,6.3760,Si
6.3770,5.0362,6.3770,Si
6.3780,5.0366,6.3780,Si
6.3790,5.0370,6.3790,Si
6.3800,5.0374,6.3800,Si
6.3810,5.0379,6.3810,Si
6.3820,5.0383,6.3820,Si
6.3830,5.0387,6.3830,Si
6.3840,5.0391,6.3840,Si
6.3850,5.0396,6.3850,Si
6.3860,5.0400,6.3860,Si
6.3870,5.0404,6.3870,Si
6.3880,5.0408,6.3880,Si
6.3890,5.0413,6.3890,Si
6.3900,5.0417,6.3900,Si
6.3910,5.0421,6.3910,Si
6.3920,5.0425,6.3920,Si
6.3930,5.0430,6.3930,Si
6.3940,5.0434,6.3940,Si
6.3950,5.0438,6.3950,Si
6.3960,5.0442,6.3960,Si
6.3970,5.0447,6.3970,Si
6.3980,5.0451,6.3980,Si
6.3990,5.0455,6.3990,Si
6.4000,5.0459,6.4000,Si
6.4010,5.0464,6.4010,Si
6.4020,5.0468,6.4020,Si
6.4030,5.0472,6.4030,Si
6.4040,5.0476,6.4040,Si
6.4050,5.0481,6.4050,Si
6.4060,5.0485,6.4060,Si
6.4070,5.0489,6.4070,Si
6.4080,5.0493,6.4080,Si
6.4090,5.0498,6.4090,Si
6.4100,5.0502,6.4100,Si
6.4110,5.0506,6.4110,Si
6.4120,5.0510,6.4120,Si
6.4130,5.0515,6.4130,Si
6.4140,5.0519,6.4140,Si
6.4150,5.0523,6.4150,Si
6.4160,5.0527,6.4160,Si
6.4170,5.0532,6.4170,Si
6.4180,5.0536,6.4180,Si
6.4190,5.0540,6.4190,Si
6.4200,5.0544,6.4200,Si
6.4210,5.0548,6.4210,Si
6.4220,5.0553,6.4220,Si
6.4230,5.0557,6.4230,Si
6.4240,5.0561,6.4240,Si
6.4250,5.0565,6.4250,Si
6.4260,5.0570,6.4260,Si
6.4270,5.0574,6.4270,Si
6.4280,5.0578,6.4280,Si
6.4290,5.0582,6.4290,Si
6.4300,5.0587,6.4300,Si
6.4310,5.0591,6.4310,Si
6.4320,5.0595,6.4320,Si
6.4330,5.0599,6.4330,Si
6.4340,5.0603,6.4340,Si
6.4350,5.0608,6.4350,Si
6.4360,5.0612,6.4360,Si
6.4370,5.0616,6.4370,Si
6.4380,5.0620,6.4380,Si
6.4390,5.0625,6.4390,Si
6.4400,5.0629,6.4400,Si
6.4410,5.0633,6.4410,Si
6.4420,5.0637,6.4420,Si
6.4430,5.0641,6.4430,Si
6.4440,5.0646,6.4440,Si
6.4450,5.0650,6.4450,Si
6.4460,5.0654,6.4460,Si
6.4470,5.0658,6.4470,Si
6.4480,5.0663,6.4480,Si
6.4490,5.0667,6.4490,Si
6.4500,5.0671,6.4500,Si
6.4510,5.0675,6.4510,Si
6.4520,5.0679,6.4520,Si
6.4530,5.0684,6.4530,Si
6.4540,5.0688,6.4540,Si
6.4550,5.0692,6.4550,Si
6.4560,5.0696,6.4560,Si
6.4570,5.0700,6.4570,Si
6.4580,5.0705,6.4580,Si
6.4590,5.0709,6.4590,Si
6.4600,5.0713,6.4600,Si
6.4610,5.0717,6.4610,Si
6.4620,5.0721,6.4620,Si
6.4630,5.0726,6.4630,Si
6.4640,5.0730,6.4640,Si
6.4650,5.0734,6.4650,Si
6.4660,5.0738,6.4660,Si
6.4670,5.0743,6.4670,Si
6.4680,5.0747,6.4680,Si
6.4690,5.0751,6.4690,Si
6.4700,5.0755,6.4700,Si
6.4710,5.0759,6.4710,Si
6.4720,5.0764,6.4720,Si
6.4730,5.0768,6.4730,Si
6.4740,5.0772,6.4740,Si
6.4750,5.0776,6.4750,Si
6.4760,5.0780,6.4760,Si
6.4770,5.0785,6.4770,Si
6.4780,5.0789,6.4780,Si
6.4790,5.0793,6.4790,Si
6.4800,5.0797,6.4800,Si
6.4810,5.0801,6.4810,Si
6.4820,5.0805,6.4820,Si
6.4830,5.0810,6.4830,Si
6.4840,5.0814,6.4840,Si
6.4850,5.0818,6.4850,Si
6.4860,5.0822,6.4860,Si
6.4870,5.0826,6.4870,Si
6.4880,5.0831,6.4880,Si
6.4890,5.0835,6.4890,Si
6.4900,5.0839,6.4900,Si
6.4910,5.0843,6.4910,Si
6.4920,5.0847,6.4920,Si
6.4930,5.0852,6.4930,Si
6.4940,5.0856,6.4940,Si
6.4950,5.0860,6.4950,Si
6.4960,5.0864,6.4960,Si
6.4970,5.0868,6.4970,Si
6.4980,5.0872,6.4980,Si
6.4990,5.0877,6.4990,Si
6.5000,5.0881,6.5000,Si
6.5010,5.0885,6.5010,Si
6.5020,5.0889,6.5020,Si
6.5030,5.0893,6.5030,Si
6.5040,5.0898,6.5040,Si
6.5050,5.0902,6.5050,Si
6.5060,5.0906,6.5060,Si
6.5070,5.0910,6.5070,Si
6.5080,5.0914,6.5080,Si
6.5090,5.0918,6.5090,Si
6.5100,5.0923,6.5100,Si
6.5110,5.0927,6.5110,Si
6.5120,5.0931,6.5120,Si
6.5130,5.0935,6.5130,Si
6.5140,5.0939,6.5140,Si
6.5150,5.0944,6.5150,Si
6.5160,5.0948,6.5160,Si
6.5170,5.0952,6.5170,Si
6.5180,5.0956,6.5180,Si
6.5190,5.0960,6.5190,Si
6.5200,5.0964,6.5200,Si
6.5210,5.0969,6.5210,Si
6.5220,5.0973,6.5220,Si
6.5230,5.0977,6.5230,Si
6.5240,5.0981,6.5240,Si
6.5250,5.0985,6.5250,Si
6.5260,5.0989,6.5260,Si
6.5270,5.0994,6.5270,Si
6.5280,5.0998,6.5280,Si
6.5290,5.1002,6.5290,Si
6.5300,5.1006,6.5300,Si
6.5310,5.1010,6.5310,Si
6.5320,5.1014,6.5320,Si
6.5330,5.1019,6.5330,Si
6.5340,5.1023,6.5340,Si
6.5350,5.1027,6.5350,Si
6.5360,5.1031,6.5360,Si
6.5370,5.1035,6.5370,Si
6.5380,5.1039,6.5380,Si
6.5390,5.1043,6.5390,Si
6.5400,5.1048,6.5400,Si
6.5410,5.1052,6.5410,Si
6.5420,5.1056,6.5420,Si
6.5430,5.1060,6.5430,Si
6.5440,5.1064,6.5440,Si
6.5450,5.1068,6.5450,Si
6.5460,5.1073,6.5460,Si
6.5470,5.1077,6.5470,Si
6.5480,5.1081,6.5480,Si
6.5490,5.1085,6.5490,Si
6.5500,5.1089,6.5500,Si
6.5510,5.1093,6.5510,Si
6.5520,5.1097,6.5520,Si
6.5530,5.1102,6.5530,Si
6.5540,5.1106,6.5540,Si
6.5550,5.1110,6.5550,Si
6.5560,5.1114,6.5560,Si
6.5570,5.1118,6.5570,Si
6.5580,5.1122,6.5580,Si
6.5590,5.1126,6.5590,Si
6.5600,5.1131,6.5600,Si
6.5610,5.1135,6.5610,Si
6.5620,5.1139,6.5620,Si
6.5630,5.1143,6.5630,Si
6.5640,5.1147,6.5640,Si
6.5650,5.1151,6.5650,Si
6.5660,5.1155,6.5660,Si
6.5670,5.1160,6.5670,Si
6.5680,5.1164,6.5680,Si
6.5690,5.1168,6.5690,Si
6.5700,5.1172,6.5700,Si
6.5710,5.1176,6.5710,Si
6.5720,5.1180,6.5720,Si
6.5730,5.1184,6.5730,Si
6.5740,5.1189,6.5740,Si
6.5750,5.1193,6.5750,Si
6.5760,5.1197,6.5760,Si
6.5770,5.1201,6.5770,Si
6.5780,5.1205,6.5780,Si
6.5790,5.1209,6.5790,Si
6.5800,5.1213,6.5800,Si
6.5810,5.1218,6.5810,Si
6.5820,5.1222,6.5820,Si
6.5830,5.1226,6.5830,Si
6.5840,5.1230,6.5840,Si
6.5850,5.1234,6.5850,Si
6.5860,5.1238,6.5860,Si
6.5870,5.1242,6.5870,Si
6.5880,5.1246,6.5880,Si
6.5890,5.1251,6.5890,Si
6.5900,5.1255,6.5900,Si
6.5910,5.1259,6.5910,Si
6.5920,5.1263,6.5920,Si
6.5930,5.1267,6.5930,Si
6.5940,5.1271,6.5940,Si
6.5950,5.1275,6.5950,Si
6.5960,5.1279,6.5960,Si
6.5970,5.1284,6.5970,Si
6.5980,5.1288,6.5980,Si
6.5990,5.1292,6.5990,Si
6.6000,5.1296,6.6000,Si
6.6010,5.1300,6.6010,Si
6.6020,5.1304,6.6020,Si
6.6030,5.1308,6.6030,Si
6.6040,5.1312,6.6040,Si
6.6050,5.1316,6.6050,Si
6.6060,5.1321,6.6060,Si
6.6070,5.1325,6.6070,Si
6.6080,5.1329,6.6080,Si
6.6090,5.1333,6.6090,Si
6.6100,5.1337,6.6100,Si
6.6110,5.1341,6.6110,Si
6.6120,5.1345,6.6120,Si
6.6130,5.1349,6.6130,Si
6.6140,5.1353,6.6140,Si
6.6150,5.1358,6.6150,Si
6.6160,5.1362,6.6160,Si
6.6170,5.1366,6.6170,Si
6.6180,5.1370,6.6180,Si
6.6190,5.1374,6.6190,Si
6.6200,5.1378,6.6200,Si
6.6210,5.1382,6.6210,Si
6.6220,5.1386,6.6220,Si
6.6230,5.1390,6.6230,Si
6.6240,5.1395,6.6240,Si
6.6250,5.1399,6.6250,Si
6.6260,5.1403,6.6260,Si
6.6270,5.1407,6.6270,Si
6.6280,5.1411,6.6280,Si
6.6290,5.1415,6.6290,Si
6.6300,5.1419,6.6300,Si
6.6310,5.1423,6.6310,Si
6.6320,5.1427,6.6320,Si
6.6330,5.1431,6.6330,Si
6.6340,5.1436,6.6340,Si
6.6350,5.1440,6.6350,Si
6.6360,5.1444,6.6360,Si
6.6370,5.1448,6.6370,Si
6.6380,5.1452,6.6380,Si
6.6390,5.1456,6.6390,Si
6.6400,5.1460,6.6400,Si
6.6410,5.1464,6.6410,Si
6.6420,5.1468,6.6420,Si
6.6430,5.1472,6.6430,Si
6.6440,5.1476,6.6440,Si
6.6450,5.1481,6.6450,Si
6.6460,5.1485,6.6460,Si
6.6470,5.1489,6.6470,Si
6.6480,5.1493,6.6480,Si
6.6490,5.1497,6.6490,Si
6.6500,5.1501,6.6500,Si
6.6510,5.1505,6.6510,Si
6.6520,5.1509,6.6520,Si
6.6530,5.1513,6.6530,Si
6.6540,5.1517,6.6540,Si
6.6550,5.1521,6.6550,Si
6.6560,5.1526,6.6560,Si
6.6570,5.1530,6.6570,Si
6.6580,5.1534,6.6580,Si
6.6590,5.1538,6.6590,Si
6.6600,5.1542,6.6600,Si
6.6610,5.1546,6.6610,Si
6.6620,5.1550,6.6620,Si
6.6630,5.1554,6.6630,Si
6.6640,5.1558,6.6640,Si
6.6650,5.1562,6.6650,Si
6.6660,5.1566,6.6660,Si
6.6670,5.1570,6.6670,Si
6.6680,5.1575,6.6680,Si
6.6690,5.1579,6.6690,Si
6.6700,5.1583,6.6700,Si
6.6710,5.1587,6.6710,Si
6.6720,5.1591,6.6720,Si
6.6730,5.1595,6.6730,Si
6.6740,5.1599,6.6740,Si
6.6750,5.1603,6.6750,Si
6.6760,5.1607,6.6760,Si
6.6770,5.1611,6.6770,Si
6.6780,5.1615,6.6780,Si
6.6790,5.1619,6.6790,Si
6.6800,5.1623,6.6800,Si
6.6810,5.1627,6.6810,Si
6.6820,5.1632,6.6820,Si
6.6830,5.1636,6.6830,Si
6.6840,5.1640,6.6840,Si
6.6850,5.1644,6.6850,Si
6.6860,5.1648,6.6860,Si
6.6870,5.1652,6.6870,Si
6.6880,5.1656,6.6880,Si
6.6890,5.1660,6.6890,Si
6.6900,5.1664,6.6900,Si
6.6910,5.1668,6.6910,Si
6.6920,5.1672,6.6920,Si
6.6930,5.1676,6.6930,Si
6.6940,5.1680,6.6940,Si
6.6950,5.1684,6.6950,Si
6.6960,5.1688,6.6960,Si
6.6970,5.1692,6.6970,Si
6.6980,5.1697,6.6980,Si
6.6990,5.1701,6.6990,Si
6.7000,5.1705,6.7000,Si
6.7010,5.1709,6.7010,Si
6.7020,5.1713,6.7020,Si
6.7030,5.1717,6.7030,Si
6.7040,5.1721,6.7040,Si
6.7050,5.1725,6.7050,Si
6.7060,5.1729,6.7060,Si
6.7070,5.1733,6.7070,Si
6.7080,5.1737,6.7080,Si
6.7090,5.1741,6.7090,Si
6.7100,5.1745,6.7100,Si
6.7110,5.1749,6.7110,Si
6.7120,5.1753,6.7120,Si
6.7130,5.1757,6.7130,Si
6.7140,5.1761,6.7140,Si
6.7150,5.1765,6.7150,Si
6.7160,5.1769,6.7160,Si
6.7170,5.1774,6.7170,Si
6.7180,5.1778,6.7180,Si
6.7190,5.1782,6.7190,Si
6.7200,5.1786,6.7200,Si
6.7210,5.1790,6.7210,Si
6.7220,5.1794,6.7220,Si
6.7230,5.1798,6.7230,Si
6.7240,5.1802,6.7240,Si
6.7250,5.1806,6.7250,Si
6.7260,5.1810,6.7260,Si
6.7270,5.1814,6.7270,Si
6.7280,5.1818,6.7280,Si
6.7290,5.1822,6.7290,Si
6.7300,5.1826,6.7300,Si
6.7310,5.1830,6.7310,Si
6.7320,5.1834,6.7320,Si
6.7330,5.1838,6.7330,Si
6.7340,5.1842,6.7340,Si
6.7350,5.1846,6.7350,Si
6.7360,5.1850,6.7360,Si
6.7370,5.1854,6.7370,Si
6.7380,5.1858,6.7380,Si
6.7390,5.1862,6.7390,Si
6.7400,5.1866,6.7400,Si
6.7410,5.1870,6.7410,Si
6.7420,5.1875,6.7420,Si
6.7430,5.1879,6.7430,Si
6.7440,5.1883,6.7440,Si
6.7450,5.1887,6.7450,Si
6.7460,5.1891,6.7460,Si
6.7470,5.1895,6.7470,Si
6.7480,5.1899,6.7480,Si
6.7490,5.1903,6.7490,Si
6.7500,5.1907,6.7500,Si
6.7510,5.1911,6.7510,Si
6.7520,5.1915,6.7520,Si
6.7530,5.1919,6.7530,Si
6.7540,5.1923,6.7540,Si
6.7550,5.1927,6.7550,Si
6.7560,5.1931,6.7560,Si
6.7570,5.1935,6.7570,Si
6.7580,5.1939,6.7580,Si
6.7590,5.1943,6.7590,Si
6.7600,5.1947,6.7600,Si
6.7610,5.1951,6.7610,Si
6.7620,5.1955,6.7620,Si
6.7630,5.1959,6.7630,Si
6.7640,5.1963,6.7640,Si
6.7650,5.1967,6.7650,Si
6.7660,5.1971,6.7660,Si
6.7670,5.1975,6.7670,Si
6.7680,5.1979,6.7680,Si
6.7690,5.1983,6.7690,Si
6.7700,5.1987,6.7700,Si
6.7710,5.1991,6.7710,Si
6.7720,5.1995,6.7720,Si
6.7730,5.1999,6.7730,Si
6.7740,5.2003,6.7740,Si
6.7750,5.2007,6.7750,Si
6.7760,5.2011,6.7760,Si
6.7770,5.2015,6.7770,Si
6.7780,5.2019,6.7780,Si
6.7790,5.2023,6.7790,Si
6.7800,5.2027,6.7800,Si
6.7810,5.2031,6.7810,Si
6.7820,5.2035,6.7820,Si
6.7830,5.2039,6.7830,Si
6.7840,5.2043,6.7840,Si
6.7850,5.2047,6.7850,Si
6.7860,5.2051,6.7860,Si
6.7870,5.2055,6.7870,Si
6.7880,5.2059,6.7880,Si
6.7890,5.2063,6.7890,Si
6.7900,5.2067,6.7900,Si
6.7910,5.2071,6.7910,Si
6.7920,5.2075,6.7920,Si
6.7930,5.2079,6.7930,Si
6.7940,5.2083,6.7940,Si
6.7950,5.2087,6.7950,Si
6.7960,5.2091,6.7960,Si
6.7970,5.2095,6.7970,Si
6.7980,5.2099,6.7980,Si
6.7990,5.2103,6.7990,Si
6.8000,5.2107,6.8000,Si
6.8010,5.2111,6.8010,Si
6.8020,5.2115,6.8020,Si
6.8030,5.2119,6.8030,Si
6.8040,5.2123,6.8040,Si
6.8050,5.2127,6.8050,Si
6.8060,5.2131,6.8060,Si
6.8070,5.2135,6.8070,Si
6.8080,5.2139,6.8080,Si
6.8090,5.2143,6.8090,Si
6.8100,5.2147,6.8100,Si
6.8110,5.2151,6.8110,Si
6.8120,5.2155,6.8120,Si
6.8130,5.2159,6.8130,Si
6.8140,5.2163,6.8140,Si
6.8150,5.2167,6.8150,Si
6.8160,5.2171,6.8160,Si
6.8170,5.2175,6.8170,Si
6.8180,5.2179,6.8180,Si
6.8190,5.2183,6.8190,Si
6.8200,5.2187,6.8200,Si
6.8210,5.2191,6.8210,Si
6.8220,5.2195,6.8220,Si
6.8230,5.2199,6.8230,Si
6.8240,5.2203,6.8240,Si
6.8250,5.2207,6.8250,Si
6.8260,5.2211,6.8260,Si
6.8270,5.2215,6.8270,Si
6.8280,5.2219,6.8280,Si
6.8290,5.2223,6.8290,Si
6.8300,5.2227,6.8300,Si
6.8310,5.2231,6.8310,Si
6.8320,5.2235,6.8320,Si
6.8330,5.2239,6.8330,Si
6.8340,5.2243,6.8340,Si
6.8350,5.2247,6.8350,Si
6.8360,5.2251,6.8360,Si
6.8370,5.2255,6.8370,Si
6.8380,5.2259,6.8380,Si
6.8390,5.2263,6.8390,Si
6.8400,5.2267,6.8400,Si
6.8410,5.2271,6.8410,Si
6.8420,5.2275,6.8420,Si
6.8430,5.2279,6.8430,Si
6.8440,5.2283,6.8440,Si
6.8450,5.2287,6.8450,Si
6.8460,5.2291,6.8460,Si
6.8470,5.2295,6.8470,Si
6.8480,5.2299,6.8480,Si
6.8490,5.2303,6.8490,Si
6.8500,5.2307,6.8500,Si
6.8510,5.2310,6.8510,Si
6.8520,5.2314,6.8520,Si
6.8530,5.2318,6.8530,Si
6.8540,5.2322,6.8540,Si
6.8550,5.2326,6.8550,Si
6.8560,5.2330,6.8560,Si
6.8570,5.2334,6.8570,Si
6.8580,5.2338,6.8580,Si
6.8590,5.2342,6.8590,Si
6.8600,5.2346,6.8600,Si
6.8610,5.2350,6.8610,Si
6.8620,5.2354,6.8620,Si
6.8630,5.2358,6.8630,Si
6.8640,5.2362,6.8640,Si
6.8650,5.2366,6.8650,Si
6.8660,5.2370,6.8660,Si
